media;start;end;tot;covid
AG_AFP;2019/12/30;2020/01/05;1469;1
AG_AFP;2020/01/06;2020/01/12;2197;12
AG_AFP;2020/01/13;2020/01/19;2137;23
AG_AFP;2020/01/20;2020/01/26;2500;232
AG_AFP;2020/01/27;2020/02/02;2520;510
AG_AFP;2020/02/03;2020/02/09;2181;481
AG_AFP;2020/02/10;2020/02/16;2041;403
AG_AFP;2020/02/17;2020/02/23;2111;528
AG_AFP;2020/02/24;2020/03/01;2475;869
AG_AFP;2020/03/02;2020/03/08;2411;1120
AG_AFP;2020/03/09;2020/03/15;2728;2059
AG_AFP;2020/03/16;2020/03/22;2310;2083
AG_AFP;2020/03/23;2020/03/29;1908;1718
AG_AFP;2020/03/30;2020/04/05;1783;1623
AG_AFP;2020/04/06;2020/04/12;1709;1523
AG_AFP;2020/04/13;2020/04/19;1612;1410
AG_AFP;2020/04/20;2020/04/26;1631;1377
AG_AFP;2020/04/27;2020/05/03;1734;1390
AG_AFP;2020/05/04;2020/05/10;1726;1407
AG_AFP;2020/05/11;2020/05/17;1767;1375
AG_AFP;2020/05/18;2020/05/24;1846;1332
AG_AFP;2020/05/25;2020/05/31;1795;1252
AG_AFP;2020/06/01;2020/06/07;1820;1114
AG_AFP;2020/06/08;2020/06/14;1813;1074
AG_AFP;2020/06/15;2020/06/21;2106;1149
AG_AFP;2020/06/22;2020/06/28;2112;1159
AG_Reuters;2019/12/30;2020/01/05;7517;0
AG_Reuters;2020/01/06;2020/01/12;12194;20
AG_Reuters;2020/01/13;2020/01/19;12922;87
AG_Reuters;2020/01/20;2020/01/26;13181;1229
AG_Reuters;2020/01/27;2020/02/02;14868;2548
AG_Reuters;2020/02/03;2020/02/09;14739;2754
AG_Reuters;2020/02/10;2020/02/16;15327;2620
AG_Reuters;2020/02/17;2020/02/23;14165;2583
AG_Reuters;2020/02/24;2020/03/01;17530;4656
AG_Reuters;2020/03/02;2020/03/08;15691;5600
AG_Reuters;2020/03/09;2020/03/15;18100;8788
AG_Reuters;2020/03/16;2020/03/22;20057;11786
AG_Reuters;2020/03/23;2020/03/29;18587;10675
AG_Reuters;2020/03/30;2020/04/05;16654;8958
AG_Reuters;2020/04/06;2020/04/12;14578;7444
AG_Reuters;2020/04/13;2020/04/19;14596;7191
AG_Reuters;2020/04/20;2020/04/26;16630;7582
AG_Reuters;2020/04/27;2020/05/03;17469;7214
AG_Reuters;2020/05/04;2020/05/10;17979;7138
AG_Reuters;2020/05/11;2020/05/17;15930;6582
AG_Reuters;2020/05/18;2020/05/24;13931;5706
AG_Reuters;2020/05/25;2020/05/31;13654;5178
AG_Reuters;2020/06/01;2020/06/07;13717;4944
AG_Reuters;2020/06/08;2020/06/14;13172;4613
AG_Reuters;2020/06/15;2020/06/21;14016;4829
AG_Reuters;2020/06/22;2020/06/28;13403;4446
AG_Tass;2019/12/30;2020/01/05;2656;1
AG_Tass;2020/01/06;2020/01/12;3882;14
AG_Tass;2020/01/13;2020/01/19;5251;24
AG_Tass;2020/01/20;2020/01/26;5787;635
AG_Tass;2020/01/27;2020/02/02;5960;1308
AG_Tass;2020/02/03;2020/02/09;5655;1069
AG_Tass;2020/02/10;2020/02/16;5642;782
AG_Tass;2020/02/17;2020/02/23;5075;779
AG_Tass;2020/02/24;2020/03/01;5278;1289
AG_Tass;2020/03/02;2020/03/08;5488;1587
