media;start;end;tot;terror;terror_attack
US_Nytime;2001-07-31;2001-08-06;3580;42;157
US_Nytime;2001-08-07;2001-08-13;3438;39;169
US_Nytime;2001-08-14;2001-08-20;3578;32;151
US_Nytime;2001-08-21;2001-08-27;3502;37;180
US_Nytime;2001-08-28;2001-09-03;3381;28;191
US_Nytime;2001-09-04;2001-09-10;3543;52;214
US_Nytime;2001-09-11;2001-09-17;3201;573;1393
US_Nytime;2001-09-18;2001-09-24;3528;789;1697
US_Nytime;2001-09-25;2001-10-01;3770;728;1595
US_Nytime;2001-10-02;2001-10-08;3871;684;1440
US_Nytime;2001-10-09;2001-10-15;3923;636;1369
US_Nytime;2001-10-16;2001-10-22;3883;532;1142
US_Nytime;2001-10-23;2001-10-29;3828;491;1109
US_Nytime;2001-10-30;2001-11-05;3989;467;1022
US_Nytime;2001-11-06;2001-11-12;3967;474;1023
US_Nytime;2001-11-13;2001-11-19;3851;413;861
US_Nytime;2001-11-20;2001-11-26;3472;357;743
US_Nytime;2001-11-27;2001-12-03;3829;367;815
US_Nytime;2001-12-04;2001-12-10;4039;376;793
US_Nytime;2001-12-11;2001-12-17;3894;362;782
US_Nytime;2001-12-18;2001-12-24;3705;288;677
US_Nytime;2001-12-25;2001-12-31;3164;290;590
AG_Reuters;2001-07-31;2001-08-06;13754;107;543
AG_Reuters;2001-08-07;2001-08-13;13888;143;703
AG_Reuters;2001-08-14;2001-08-20;13106;131;593
AG_Reuters;2001-08-21;2001-08-27;13336;122;577
AG_Reuters;2001-08-28;2001-09-03;13290;93;551
AG_Reuters;2001-09-04;2001-09-10;15183;144;583
AG_Reuters;2001-09-11;2001-09-17;15021;4952;7701
AG_Reuters;2001-09-18;2001-09-24;15239;2220;6894
AG_Reuters;2001-09-25;2001-10-01;15189;1678;5551
AG_Reuters;2001-10-02;2001-10-08;14103;1652;5402
AG_Reuters;2001-10-09;2001-10-15;14694;1587;4933
AG_Reuters;2001-10-16;2001-10-22;15899;1407;4527
AG_Reuters;2001-10-23;2001-10-29;16497;1017;3843
AG_Reuters;2001-10-30;2001-11-05;15231;1080;3370
AG_Reuters;2001-11-06;2001-11-12;15716;1029;3225
AG_Reuters;2001-11-13;2001-11-19;16096;871;2972
AG_Reuters;2001-11-20;2001-11-26;14241;541;2033
AG_Reuters;2001-11-27;2001-12-03;14566;715;2242
AG_Reuters;2001-12-04;2001-12-10;13615;764;2191
AG_Reuters;2001-12-11;2001-12-17;13038;634;1917
AG_Reuters;2001-12-18;2001-12-24;11588;566;1718
AG_Reuters;2001-12-25;2001-12-31;6671;350;999
AG_AFP;2001-07-31;2001-08-06;4252;288;827
AG_AFP;2001-08-07;2001-08-13;4729;231;895
AG_AFP;2001-08-14;2001-08-20;4353;277;749
AG_AFP;2001-08-21;2001-08-27;4655;220;793
AG_AFP;2001-08-28;2001-09-03;4871;183;641
AG_AFP;2001-09-04;2001-09-10;4925;227;753
AG_AFP;2001-09-11;2001-09-17;6009;3526;4153
AG_AFP;2001-09-18;2001-09-24;5583;3088;3579
AG_AFP;2001-09-25;2001-10-01;5337;2614;3023
AG_AFP;2001-10-02;2001-10-08;5832;2786;3391
AG_AFP;2001-10-09;2001-10-15;5811;2529;3108
AG_AFP;2001-10-16;2001-10-22;5810;2144;2774
AG_AFP;2001-10-23;2001-10-29;5505;1668;2283
AG_AFP;2001-10-30;2001-11-05;5523;1722;2266
AG_AFP;2001-11-06;2001-11-12;5705;1636;2190
AG_AFP;2001-11-13;2001-11-19;5562;1407;1992
AG_AFP;2001-11-20;2001-11-26;4896;1077;1622
AG_AFP;2001-11-27;2001-12-03;5566;1221;1902
AG_AFP;2001-12-04;2001-12-10;5286;1323;1900
AG_AFP;2001-12-11;2001-12-17;5210;1253;1985
AG_AFP;2001-12-18;2001-12-24;4572;1000;1538
AG_AFP;2001-12-25;2001-12-31;3604;808;1189
AG_Tass;2001-07-31;2001-08-06;1124;128;128
AG_Tass;2001-08-07;2001-08-13;976;40;40
AG_Tass;2001-08-14;2001-08-20;1005;54;54
AG_Tass;2001-08-21;2001-08-27;1061;55;55
AG_Tass;2001-08-28;2001-09-03;1190;67;67
AG_Tass;2001-09-04;2001-09-10;1287;57;57
AG_Tass;2001-09-11;2001-09-17;1324;404;404
AG_Tass;2001-09-18;2001-09-24;1329;404;404
AG_Tass;2001-09-25;2001-10-01;1595;356;356
AG_Tass;2001-10-02;2001-10-08;1571;323;323
AG_Tass;2001-10-09;2001-10-15;1553;274;274
AG_Tass;2001-10-16;2001-10-22;1371;256;256
AG_Tass;2001-10-23;2001-10-29;1547;242;242
AG_Tass;2001-10-30;2001-11-05;1486;228;228
AG_Tass;2001-11-06;2001-11-12;1375;262;262
AG_Tass;2001-11-13;2001-11-19;1570;238;238
AG_Tass;2001-11-20;2001-11-26;1402;178;178
AG_Tass;2001-11-27;2001-12-03;1849;240;240
AG_Tass;2001-12-04;2001-12-10;1708;215;215
AG_Tass;2001-12-11;2001-12-17;1116;132;132
AG_Tass;2001-12-18;2001-12-24;1526;167;167
AG_Tass;2001-12-25;2001-12-31;895;89;89
SO_Tindia;2001-07-31;2001-08-06;912;14;62
SO_Tindia;2001-08-07;2001-08-13;1519;36;109
SO_Tindia;2001-08-14;2001-08-20;1538;38;110
SO_Tindia;2001-08-21;2001-08-27;2066;39;145
SO_Tindia;2001-08-28;2001-09-03;1601;30;105
SO_Tindia;2001-09-04;2001-09-10;1683;19;83
SO_Tindia;2001-09-11;2001-09-17;1487;187;263
SO_Tindia;2001-09-18;2001-09-24;1020;164;217
SO_Tindia;2001-09-25;2001-10-01;1611;202;299
SO_Tindia;2001-10-02;2001-10-08;1547;141;213
SO_Tindia;2001-10-09;2001-10-15;1127;143;208
SO_Tindia;2001-10-16;2001-10-22;1522;150;221
SO_Tindia;2001-10-23;2001-10-29;1335;118;211
SO_Tindia;2001-10-30;2001-11-05;1738;159;267
SO_Tindia;2001-11-06;2001-11-12;1427;127;190
SO_Tindia;2001-11-13;2001-11-19;1232;82;142
SO_Tindia;2001-11-20;2001-11-26;1629;110;176
SO_Tindia;2001-11-27;2001-12-03;1739;90;177
SO_Tindia;2001-12-04;2001-12-10;1648;105;199
SO_Tindia;2001-12-11;2001-12-17;1360;159;240
SO_Tindia;2001-12-18;2001-12-24;1403;184;255
SO_Tindia;2001-12-25;2001-12-31;1379;130;202
SO_Strait;2001-07-31;2001-08-06;1090;9;41
SO_Strait;2001-08-07;2001-08-13;1051;3;37
SO_Strait;2001-08-14;2001-08-20;1073;13;34
SO_Strait;2001-08-21;2001-08-27;1041;6;23
SO_Strait;2001-08-28;2001-09-03;824;3;30
SO_Strait;2001-09-04;2001-09-10;968;6;28
SO_Strait;2001-09-11;2001-09-17;901;91;143
SO_Strait;2001-09-18;2001-09-24;658;72;90
SO_Strait;2001-09-25;2001-10-01;804;86;123
SO_Strait;2001-10-02;2001-10-08;720;50;78
SO_Strait;2001-10-09;2001-10-15;812;85;147
SO_Strait;2001-10-16;2001-10-22;1067;68;144
SO_Strait;2001-10-23;2001-10-29;961;56;103
SO_Strait;2001-10-30;2001-11-05;1003;53;112
SO_Strait;2001-11-06;2001-11-12;990;38;84
SO_Strait;2001-11-13;2001-11-19;786;33;75
SO_Strait;2001-11-20;2001-11-26;862;23;65
SO_Strait;2001-11-27;2001-12-03;865;30;65
SO_Strait;2001-12-04;2001-12-10;906;23;66
SO_Strait;2001-12-11;2001-12-17;658;11;38
SO_Strait;2001-12-18;2001-12-24;552;12;33
SO_Strait;2001-12-25;2001-12-31;566;11;33
SO_Folha;2001-07-31;2001-08-06;1724;21;97
SO_Folha;2001-08-07;2001-08-13;1569;44;114
SO_Folha;2001-08-14;2001-08-20;1779;47;121
SO_Folha;2001-08-21;2001-08-27;1737;37;101
SO_Folha;2001-08-28;2001-09-03;1436;20;79
SO_Folha;2001-09-04;2001-09-10;1262;28;83
SO_Folha;2001-09-11;2001-09-17;731;187;266
SO_Folha;2001-09-18;2001-09-24;690;155;212
SO_Folha;2001-09-25;2001-10-01;1088;217;285
SO_Folha;2001-10-02;2001-10-08;1211;194;279
SO_Folha;2001-10-09;2001-10-15;1188;230;298
SO_Folha;2001-10-16;2001-10-22;964;133;202
SO_Folha;2001-10-23;2001-10-29;1140;142;227
SO_Folha;2001-10-30;2001-11-05;1125;130;200
SO_Folha;2001-11-06;2001-11-12;1171;110;188
SO_Folha;2001-11-13;2001-11-19;1189;120;187
SO_Folha;2001-11-20;2001-11-26;1201;78;144
SO_Folha;2001-11-27;2001-12-03;1183;81;135
SO_Folha;2001-12-04;2001-12-10;1057;65;126
SO_Folha;2001-12-11;2001-12-17;1016;67;113
SO_Folha;2001-12-18;2001-12-24;993;68;118
SO_Folha;2001-12-25;2001-12-31;820;64;128
US_Today;2001-07-31;2001-08-06;264;5;17
US_Today;2001-08-07;2001-08-13;362;13;31
US_Today;2001-08-14;2001-08-20;377;7;40
US_Today;2001-08-21;2001-08-27;442;8;38
US_Today;2001-08-28;2001-09-03;307;3;18
US_Today;2001-09-04;2001-09-10;642;12;67
US_Today;2001-09-11;2001-09-17;529;342;383
US_Today;2001-09-18;2001-09-24;455;330;363
US_Today;2001-09-25;2001-10-01;426;239;275
US_Today;2001-10-02;2001-10-08;475;223;254
US_Today;2001-10-09;2001-10-15;511;210;252
US_Today;2001-10-16;2001-10-22;473;186;222
US_Today;2001-10-23;2001-10-29;489;172;226
US_Today;2001-10-30;2001-11-05;528;180;223
US_Today;2001-11-06;2001-11-12;545;168;206
US_Today;2001-11-13;2001-11-19;472;169;190
US_Today;2001-11-20;2001-11-26;350;116;138
US_Today;2001-11-27;2001-12-03;425;120;141
US_Today;2001-12-04;2001-12-10;489;134;162
US_Today;2001-12-11;2001-12-17;420;118;147
US_Today;2001-12-18;2001-12-24;402;92;123
US_Today;2001-12-25;2001-12-31;275;77;95
US_Wapost;2001-07-31;2001-08-06;1524;29;135
US_Wapost;2001-08-07;2001-08-13;1552;30;128
US_Wapost;2001-08-14;2001-08-20;1511;48;141
US_Wapost;2001-08-21;2001-08-27;1552;32;133
US_Wapost;2001-08-28;2001-09-03;1697;25;183
US_Wapost;2001-09-04;2001-09-10;1771;41;188
US_Wapost;2001-09-11;2001-09-17;1580;586;698
US_Wapost;2001-09-18;2001-09-24;1654;758;885
US_Wapost;2001-09-25;2001-10-01;1712;647;770
US_Wapost;2001-10-02;2001-10-08;1560;519;624
US_Wapost;2001-10-09;2001-10-15;1740;566;715
US_Wapost;2001-10-16;2001-10-22;1763;507;649
US_Wapost;2001-10-23;2001-10-29;1819;458;579
US_Wapost;2001-10-30;2001-11-05;1853;481;616
US_Wapost;2001-11-06;2001-11-12;1793;392;531
US_Wapost;2001-11-13;2001-11-19;1843;431;546
US_Wapost;2001-11-20;2001-11-26;1480;325;430
US_Wapost;2001-11-27;2001-12-03;1725;311;436
US_Wapost;2001-12-04;2001-12-10;1749;335;464
US_Wapost;2001-12-11;2001-12-17;1739;295;436
US_Wapost;2001-12-18;2001-12-24;1584;291;407
US_Wapost;2001-12-25;2001-12-31;1253;207;280
EU_Guardi;2001-07-31;2001-08-06;1932;70;241
EU_Guardi;2001-08-07;2001-08-13;2143;72;304
EU_Guardi;2001-08-14;2001-08-20;2026;94;286
EU_Guardi;2001-08-21;2001-08-27;1994;69;230
EU_Guardi;2001-08-28;2001-09-03;2295;48;237
EU_Guardi;2001-09-04;2001-09-10;2012;43;231
EU_Guardi;2001-09-11;2001-09-17;2259;509;799
EU_Guardi;2001-09-18;2001-09-24;2268;529;807
EU_Guardi;2001-09-25;2001-10-01;2284;603;830
EU_Guardi;2001-10-02;2001-10-08;2567;512;749
EU_Guardi;2001-10-09;2001-10-15;2588;478;807
EU_Guardi;2001-10-16;2001-10-22;2524;419;742
EU_Guardi;2001-10-23;2001-10-29;2681;368;649
EU_Guardi;2001-10-30;2001-11-05;2754;365;698
EU_Guardi;2001-11-06;2001-11-12;2731;297;604
EU_Guardi;2001-11-13;2001-11-19;2819;316;573
EU_Guardi;2001-11-20;2001-11-26;3107;252;512
EU_Guardi;2001-11-27;2001-12-03;3169;249;492
EU_Guardi;2001-12-04;2001-12-10;3088;263;507
EU_Guardi;2001-12-11;2001-12-17;3267;254;529
EU_Guardi;2001-12-18;2001-12-24;3178;233;443
EU_Guardi;2001-12-25;2001-12-31;1715;158;257
EU_Suddeu;2001-07-31;2001-08-06;1270;41;63
EU_Suddeu;2001-08-07;2001-08-13;1278;39;63
EU_Suddeu;2001-08-14;2001-08-20;1107;37;60
EU_Suddeu;2001-08-21;2001-08-27;1299;32;64
EU_Suddeu;2001-08-28;2001-09-03;1178;27;55
EU_Suddeu;2001-09-04;2001-09-10;1326;35;66
EU_Suddeu;2001-09-11;2001-09-17;1169;378;415
EU_Suddeu;2001-09-18;2001-09-24;1307;481;535
EU_Suddeu;2001-09-25;2001-10-01;1331;382;433
EU_Suddeu;2001-10-02;2001-10-08;1154;274;317
EU_Suddeu;2001-10-09;2001-10-15;1425;349;405
EU_Suddeu;2001-10-16;2001-10-22;1414;292;328
EU_Suddeu;2001-10-23;2001-10-29;1442;246;293
EU_Suddeu;2001-10-30;2001-11-05;1205;162;200
EU_Suddeu;2001-11-06;2001-11-12;1388;217;246
EU_Suddeu;2001-11-13;2001-11-19;1409;205;238
EU_Suddeu;2001-11-20;2001-11-26;1352;171;194
EU_Suddeu;2001-11-27;2001-12-03;1346;129;160
EU_Suddeu;2001-12-04;2001-12-10;1318;139;165
EU_Suddeu;2001-12-11;2001-12-17;1321;124;150
EU_Suddeu;2001-12-18;2001-12-24;1334;129;162
EU_Suddeu;2001-12-25;2001-12-31;857;102;128
EU_Stampa;2001-07-31;2001-08-06;790;31;110
EU_Stampa;2001-08-07;2001-08-13;871;85;187
EU_Stampa;2001-08-14;2001-08-20;718;56;126
EU_Stampa;2001-08-21;2001-08-27;720;55;167
EU_Stampa;2001-08-28;2001-09-03;728;42;131
EU_Stampa;2001-09-04;2001-09-10;931;37;135
EU_Stampa;2001-09-11;2001-09-17;898;275;422
EU_Stampa;2001-09-18;2001-09-24;746;255;350
EU_Stampa;2001-09-25;2001-10-01;807;252;341
EU_Stampa;2001-10-02;2001-10-08;811;265;353
EU_Stampa;2001-10-09;2001-10-15;922;322;417
EU_Stampa;2001-10-16;2001-10-22;955;318;422
EU_Stampa;2001-10-23;2001-10-29;937;224;293
EU_Stampa;2001-10-30;2001-11-05;785;227;308
EU_Stampa;2001-11-06;2001-11-12;882;260;325
EU_Stampa;2001-11-13;2001-11-19;907;178;260
EU_Stampa;2001-11-20;2001-11-26;915;184;271
EU_Stampa;2001-11-27;2001-12-03;906;183;279
EU_Stampa;2001-12-04;2001-12-10;907;174;252
EU_Stampa;2001-12-11;2001-12-17;789;123;190
EU_Stampa;2001-12-18;2001-12-24;861;79;167
EU_Stampa;2001-12-25;2001-12-31;528;72;113
